dataset,embedding_size,num_layers,loss,f1,acc,lr,it,peak_mem,ppv,seed
am,768,5,0.2801947234546382,0.9074534361615701,0.9242424242424242,0.01,17818,89224704,True,0
am,768,5,0.3274996455271488,0.8816266079751998,0.9090909090909091,0.01,17818,89216512,True,1
am,768,5,0.3130638112748692,0.8904278332329713,0.9141414141414141,0.01,17818,89216512,True,2
am,768,5,0.3076912724073583,0.900921111357544,0.9141414141414141,0.01,17818,89216512,True,3
am,768,5,0.3162200722892905,0.8959021569490225,0.9090909090909091,0.01,17818,89216512,True,4
am,768,5,0.3147286112246817,0.8863002236314595,0.9141414141414141,0.01,17818,89216512,True,5
am,768,5,0.31253726233486284,0.9103594140125293,0.9242424242424242,0.01,17818,89216512,True,6
am,768,5,0.3353869080566183,0.8763827445669502,0.898989898989899,0.01,17818,89216512,True,7
am,768,5,0.30175475888085,0.8984518147304189,0.9141414141414141,0.01,17818,89216512,True,8
am,768,5,0.2960509951890628,0.8849650651526159,0.9090909090909091,0.01,17818,89216512,True,9
