dataset,embedding_size,num_layers,fold,loss,f1,acc,lr,it,peak_mem,seed,ppv
aifb,512,2,2,0.4816057818666638,0.746031746031746,0.8214285714285714,0.0622659996151924,1268.0,58926592.0,2,1
aifb,512,2,2,0.5212412111884903,0.5729166666666666,0.7142857142857143,0.0622659996151924,1994.0,58926592.0,2,0
aifb,512,3,2,0.3641054128836467,0.8263888888888888,0.8928571428571429,0.0622659996151924,1985.0,72619520.0,2,1
aifb,512,3,2,0.3463178677585952,0.8578571428571429,0.8928571428571429,0.0622659996151924,1998.0,72619520.0,2,0
aifb,512,4,2,0.3893269842011174,0.914342105263158,0.9285714285714286,0.0622659996151924,1201.0,74596864.0,2,1
aifb,512,4,2,0.3700309942954823,0.914342105263158,0.9285714285714286,0.0622659996151924,1209.0,74596864.0,2,0
aifb,512,5,2,0.4006715812693397,0.8650793650793651,0.8928571428571429,0.0622659996151924,929.0,75682816.0,2,1
aifb,512,5,2,0.4243483763415194,0.8095238095238095,0.8214285714285714,0.0622659996151924,653.0,75682816.0,2,0
aifb,1024,1,2,0.29956482026885,0.8191666666666667,0.8928571428571429,0.0622659996151924,918.0,35557888.0,2,1
aifb,1024,1,2,0.7752266028989655,0.4082491582491582,0.7142857142857143,0.0622659996151924,996.0,35557888.0,2,0
aifb,1024,2,2,0.4679699523801723,0.7652930402930403,0.8571428571428571,0.0622659996151924,519.0,117048832.0,2,1
aifb,1024,2,2,0.490476210485962,0.5198412698412699,0.7857142857142857,0.0622659996151924,1997.0,117048832.0,2,0
aifb,1024,3,2,0.3826775419937505,0.7652930402930403,0.8571428571428571,0.0622659996151924,1750.0,143304192.0,2,1
aifb,1024,3,2,0.3509231439634003,0.8826754385964912,0.8928571428571429,0.0622659996151924,1999.0,143304192.0,2,0
aifb,1024,4,2,0.482186269763198,0.7068965517241379,0.8214285714285714,0.0622659996151924,381.0,145441280.0,2,1
aifb,1024,4,2,0.4362842783577044,0.7738095238095238,0.8571428571428571,0.0622659996151924,291.0,145441280.0,2,0
aifb,1024,5,2,0.347234917745875,0.8696581196581196,0.9285714285714286,0.0622659996151924,1966.0,146682880.0,2,1
aifb,1024,5,2,0.3507562965677215,0.8217780026990553,0.8928571428571429,0.0622659996151924,1747.0,146682880.0,2,0
aifb,256,1,3,0.2462306362638866,0.893452380952381,0.9285714285714286,0.0622659996151924,1992.0,9224704.0,3,1
aifb,256,1,3,0.8844542380977474,0.475,0.6785714285714286,0.0622659996151924,342.0,9224704.0,3,0
aifb,256,2,3,0.5718491008507718,0.7282051282051282,0.8214285714285714,0.0622659996151924,1536.0,31102464.0,3,1
aifb,256,2,3,0.6464194369064947,0.4107142857142857,0.7142857142857143,0.0622659996151924,336.0,31102464.0,3,0
aifb,256,3,3,0.3748823240020889,0.868452380952381,0.8928571428571429,0.0622659996151924,1998.0,38565376.0,3,1
aifb,256,3,3,0.5602529029407463,0.7612224731789949,0.8214285714285714,0.0622659996151924,1826.0,38565376.0,3,0
aifb,256,4,3,0.5231746920393802,0.724223602484472,0.7857142857142857,0.0622659996151924,1151.0,40247296.0,3,1
aifb,256,4,3,0.4660809735027696,0.8318421052631579,0.8928571428571429,0.0622659996151924,1233.0,40247296.0,3,0
aifb,256,5,3,0.6034671533135157,0.706359649122807,0.7857142857142857,0.0622659996151924,661.0,40969216.0,3,1
aifb,256,5,3,0.5944683929563126,0.7842857142857143,0.8571428571428571,0.0622659996151924,304.0,40969216.0,3,0
aifb,512,1,3,0.3478842540014539,0.8981947622679888,0.9285714285714286,0.0622659996151924,1493.0,17478144.0,3,1
aifb,512,1,3,0.9017055159983052,0.3662207357859531,0.6428571428571429,0.0622659996151924,611.0,17478144.0,3,0
aifb,512,2,3,0.5713846628925106,0.7876662810873337,0.8571428571428571,0.0622659996151924,752.0,58926592.0,3,1
aifb,512,2,3,0.6296239654948339,0.6365384615384615,0.7857142857142857,0.0622659996151924,1087.0,58926592.0,3,0
aifb,512,3,3,0.5243693325347111,0.7876662810873337,0.8571428571428571,0.0622659996151924,1990.0,72619520.0,3,1
aifb,512,3,3,0.509048672964399,0.7476190476190476,0.8214285714285714,0.0622659996151924,1015.0,72619520.0,3,0
aifb,512,4,3,0.5129473487502273,0.7722222222222223,0.8214285714285714,0.0622659996151924,700.0,74596864.0,3,1
aifb,512,4,3,0.5622183819259506,0.8087606837606838,0.8571428571428571,0.0622659996151924,676.0,74596864.0,3,0
aifb,512,5,3,0.5698657152537243,0.8291666666666666,0.8928571428571429,0.0622659996151924,636.0,75682816.0,3,1
aifb,512,5,3,0.5862460581844416,0.7827380952380952,0.8571428571428571,0.0622659996151924,366.0,75682816.0,3,0
aifb,1024,1,3,0.290229068693827,0.8132309941520468,0.8928571428571429,0.0622659996151924,1824.0,35557888.0,3,1
aifb,1024,1,3,0.8453904027505279,0.474125874125874,0.6785714285714286,0.0622659996151924,1518.0,35557888.0,3,0
aifb,1024,2,3,0.4784370164703114,0.8318421052631579,0.8928571428571429,0.0622659996151924,1344.0,117048832.0,3,1
aifb,1024,2,3,0.7286801514898313,0.7045454545454545,0.7857142857142857,0.0622659996151924,703.0,117048832.0,3,0
aifb,1024,3,3,0.5857593678236486,0.7642857142857143,0.8214285714285714,0.0622659996151924,648.0,143304192.0,3,1
aifb,1024,3,3,0.6094804004543625,0.7089743589743589,0.7857142857142857,0.0622659996151924,418.0,143304192.0,3,0
aifb,1024,4,3,0.5202323760716333,0.7842857142857143,0.8571428571428571,0.0622659996151924,1702.0,145441280.0,3,1
aifb,1024,4,3,0.5547731532631117,0.7842857142857143,0.8571428571428571,0.0622659996151924,621.0,145441280.0,3,0
aifb,1024,5,3,0.5665808338062223,0.8291666666666666,0.8928571428571429,0.0622659996151924,689.0,146682880.0,3,1
aifb,1024,5,3,0.558296385573472,0.8291666666666666,0.8928571428571429,0.0622659996151924,513.0,146682880.0,3,0
aifb,256,1,4,0.5787063702027689,0.815047233468286,0.8571428571428571,0.0622659996151924,501.0,9224704.0,4,1
aifb,256,1,4,1.0662403226381716,0.2617845117845118,0.4642857142857143,0.0622659996151924,184.0,9224704.0,4,0
aifb,256,2,4,0.8315893318662587,0.5294486215538846,0.6785714285714286,0.0622659996151924,445.0,31102464.0,4,1
aifb,256,2,4,0.7374464361197128,0.4902882205513785,0.7142857142857143,0.0622659996151924,577.0,31102464.0,4,0
aifb,256,3,4,0.8970624333684694,0.4738656987295825,0.6785714285714286,0.0622659996151924,190.0,38565376.0,4,1
aifb,256,3,4,0.8488798509346828,0.386904761904762,0.6785714285714286,0.0622659996151924,211.0,38565376.0,4,0
aifb,256,4,4,0.4559289319131265,0.7128571428571429,0.8214285714285714,0.0622659996151924,1986.0,40247296.0,4,1
aifb,256,4,4,0.5019241219076822,0.689921920185078,0.7857142857142857,0.0622659996151924,1494.0,40247296.0,4,0
aifb,256,5,4,0.7818618502526226,0.5558823529411765,0.7142857142857143,0.0622659996151924,198.0,40969216.0,4,1
aifb,256,5,4,0.804175883153816,0.5736215538847118,0.75,0.0622659996151924,276.0,40969216.0,4,0
aifb,512,1,4,0.5631057640217487,0.9065079365079364,0.8928571428571429,0.0622659996151924,364.0,17478144.0,4,1
aifb,512,1,4,1.1413153656777504,0.238095238095238,0.4285714285714285,0.0622659996151924,102.0,17478144.0,4,0
aifb,512,2,4,0.8581859399852829,0.5507662835249042,0.7142857142857143,0.0622659996151924,257.0,58926592.0,4,1
aifb,512,2,4,0.8399760585464803,0.5494505494505494,0.7142857142857143,0.0622659996151924,571.0,58926592.0,4,0
aifb,512,3,4,0.790990786733403,0.5703703703703704,0.75,0.0622659996151924,462.0,72619520.0,4,1
aifb,512,3,4,0.7172408273864069,0.5771428571428572,0.7857142857142857,0.0622659996151924,430.0,72619520.0,4,0
aifb,512,4,4,0.855018675796358,0.5273109243697479,0.7142857142857143,0.0622659996151924,312.0,74596864.0,4,1
aifb,512,4,4,0.7640673031264658,0.5001814882032668,0.7142857142857143,0.0622659996151924,384.0,74596864.0,4,0
aifb,512,5,4,0.7543814730351609,0.5428571428571429,0.7142857142857143,0.0622659996151924,184.0,75682816.0,4,1
