dataset,embedding_size,num_layers,loss,f1,acc,lr,it,peak_mem,ppv,seed
amplus,1024,5,0.6841876973354988,0.6599047643356972,0.77055,0.01,24222,13951382528,False,3
amplus,1024,5,0.6930148997246584,0.6568690318400945,0.7657,0.01,24222,13951382528,False,4
amplus,1024,5,0.6833589406365118,0.660313430944186,0.7709,0.01,24222,13951382528,False,5
amplus,1024,5,0.6919495160040969,0.6517397306201407,0.7658,0.01,24222,13951382528,False,6
amplus,1024,5,0.6871918144776226,0.653988931881538,0.76795,0.01,24222,13951382528,False,7
amplus,1024,5,0.6885539627976063,0.6542534091202066,0.76765,0.01,24222,13951382528,False,8
amplus,1024,5,0.6889601170580983,0.6570142604860139,0.7681,0.01,24222,13951382528,False,9
dblp,256,5,0.5751336045535224,0.6742578813901198,0.70535,0.01,6030,23274172928,True,0
dblp,256,5,0.5794374466748567,0.6704829031975026,0.7032,0.01,6030,23395078656,True,1
dblp,256,5,0.5774808475114642,0.6731715160589786,0.7046,0.01,6030,23395078656,True,2
dblp,256,5,0.57838333566486,0.6708757628772695,0.7042,0.01,6030,23395078656,True,3
dblp,256,5,0.5784669824467865,0.6718171139423511,0.7049,0.01,6030,23395078656,True,4
dblp,256,5,0.5754604581805088,0.677655180630377,0.70965,0.01,6030,23395078656,True,5
dblp,256,5,0.5742969191970908,0.6751949137709206,0.70725,0.01,6030,23395078656,True,6
dblp,256,5,0.5760095139897035,0.6767549394037877,0.7081,0.01,6030,23395078656,True,7
dblp,256,5,0.5756315731132583,0.6769041899089613,0.70875,0.01,6030,23395078656,True,8
dblp,256,5,0.5783768701213625,0.6728078672193042,0.70475,0.01,6030,23395078656,True,9
dblp,256,5,0.5833173821461236,0.6658284902103377,0.6996,0.01,6451,23395078656,False,0
dblp,256,5,0.5881494999114094,0.6659487691350954,0.7008,0.01,6451,23395078656,False,1
dblp,256,5,0.5906173379482333,0.6586855982388178,0.69625,0.01,6451,23395078656,False,2
dblp,256,5,0.5866641974924401,0.6601924263093678,0.6981,0.01,6451,23395078656,False,3
dblp,256,5,0.5870107546544051,0.6655553503876328,0.7018,0.01,6451,23395078656,False,4
dblp,256,5,0.5871756718673863,0.6647585541853228,0.7012,0.01,6451,23395078656,False,5
dblp,256,5,0.5840716470482862,0.6723141782283968,0.70715,0.01,6451,23395078656,False,6
dblp,256,5,0.5848332102222187,0.67128067816555,0.70565,0.01,6451,23395078656,False,7
dblp,256,5,0.5842419419804047,0.6677086198564304,0.70395,0.01,6451,23395078656,False,8
dblp,256,5,0.5873341813518207,0.6675661951937235,0.7039,0.01,6451,23395078656,False,9
dmgfull,1024,1,1.2861260433004449,0.1730430919096771,0.63945,0.01,4841,6332650496,True,0
dmgfull,1024,1,1.31183695554048,0.1722847831853657,0.62595,0.01,4841,6332301824,True,1
dmgfull,1024,1,1.3034451786891583,0.1724770763284493,0.63295,0.01,4841,6332301824,True,2
dmgfull,1024,1,1.305684864032628,0.1726005508172338,0.63105,0.01,4841,6332301824,True,3
dmgfull,1024,1,1.2930546353397687,0.1757349689519451,0.6403,0.01,4841,6332301824,True,4
dmgfull,1024,1,1.3027364978746996,0.1704268957044841,0.63335,0.01,4841,6332301824,True,5
dmgfull,1024,1,1.3067009120869006,0.1730389730987555,0.63025,0.01,4841,6332301824,True,6
dmgfull,1024,1,1.2890971015776769,0.1751593852007679,0.64205,0.01,4841,6332301824,True,7
dmgfull,1024,1,1.311338434618765,0.1726810701628392,0.6284,0.01,4841,6332301824,True,8
dmgfull,1024,1,1.2949964059515089,0.1699074512465213,0.6341,0.01,4841,6332301824,True,9
dmgfull,256,2,1.3234486108327324,0.1773807755121592,0.6005,0.01,4755,2756707328,False,0
dmgfull,256,2,1.3263563867931627,0.2045153875998941,0.5986,0.01,4755,2756707328,False,1
dmgfull,256,2,1.2871357649148418,0.2039406578083163,0.6143,0.01,4755,2756707328,False,2
dmgfull,256,2,1.3020351930054492,0.196263109641217,0.61,0.01,4755,2756707328,False,3
dmgfull,256,2,1.314319696495157,0.1947353076891092,0.60185,0.01,4755,2756707328,False,4
dmgfull,256,2,1.296643573203614,0.1979353051236287,0.6079,0.01,4755,2756707328,False,5
dmgfull,256,2,1.297683246219104,0.2011885190313304,0.60425,0.01,4755,2756707328,False,6
dmgfull,256,2,1.2954873850502115,0.1962848561027471,0.61945,0.01,4755,2756707328,False,7
dmgfull,256,2,1.3258676388691322,0.1908130788837006,0.5918,0.01,4755,2756707328,False,8
dmgfull,256,2,1.3071386187525564,0.2067062507435315,0.6011,0.01,4755,2756707328,False,9
dmg777k,1024,2,0.92885785931804,0.5820554509833501,0.6481759120439781,0.01,13279,4083308032,True,0
dmg777k,1024,2,0.9242798895185624,0.5565669861657981,0.6281859070464768,0.01,13279,4176782336,True,1
dmg777k,1024,2,0.9560985182552068,0.5569262051566627,0.6266866566716641,0.01,13279,4176782336,True,2
dmg777k,1024,2,0.8865605827717,0.5747365314665599,0.6451774112943528,0.01,13279,4174593536,True,3
dmg777k,1024,2,0.9138281541988934,0.5731137132608993,0.6431784107946027,0.01,13279,4176782336,True,4
dmg777k,1024,2,0.9355864034809646,0.5714800631292848,0.6426786606696652,0.01,13279,4176782336,True,5
dmg777k,1024,2,0.9346331440245852,0.5700186712859281,0.6406796601699151,0.01,13279,4176782336,True,6
dmg777k,1024,2,0.9368186595660504,0.5634684055498267,0.6306846576711644,0.01,13279,4176782336,True,7
dmg777k,1024,2,0.9403909892925139,0.5738631154583826,0.6471764117941029,0.01,13279,4176782336,True,8
dmg777k,1024,2,0.9214251179308276,0.5801202579048045,0.6446776611694153,0.01,13279,4176782336,True,9
dmg777k,1024,2,0.9860659923781538,0.5272684653416241,0.6136931534232883,0.01,14117,4176782336,False,0
dmg777k,1024,2,0.9561929604402203,0.5383535333171606,0.6261869065467266,0.01,14117,4176782336,False,1
dmg777k,1024,2,0.975390626216327,0.5211927941822642,0.6181909045477262,0.01,14117,4176782336,False,2
dmg777k,1024,2,0.9296255348431416,0.5210408087663956,0.6301849075462269,0.01,14117,4176782336,False,3
dmg777k,1024,2,0.9921518628292684,0.5147462071210256,0.6166916541729135,0.01,14117,4176782336,False,4
dmg777k,1024,2,1.0141953139662194,0.5308524560904594,0.6056971514242878,0.01,14117,4176782336,False,5
dmg777k,1024,2,0.9863773412390195,0.5090274558549086,0.6196901549225388,0.01,14117,4176782336,False,6
dmg777k,1024,2,1.0066526182098596,0.5159265741641867,0.6051974012993503,0.01,14117,4176782336,False,7
dmg777k,1024,2,1.0336802725910577,0.5003578078275963,0.600199900049975,0.01,14117,4176782336,False,8
dmg777k,1024,2,1.0076017561041293,0.5148511410017608,0.6041979010494752,0.01,14117,4176782336,False,9
aifb,512,1,0.4323631561087446,0.7660714285714285,0.8611111111111112,0.01,14937,19395072,True,0
aifb,512,1,0.35882773908783616,0.8381410256410257,0.8611111111111112,0.01,14937,19393536,True,1
aifb,512,1,0.3775249947631992,0.8383304195804195,0.8611111111111112,0.01,14937,19393536,True,2
aifb,512,1,0.4264538295550315,0.7447977214601255,0.8333333333333334,0.01,14937,19393536,True,3
aifb,512,1,0.2893979872034334,0.8936758893280633,0.9166666666666666,0.01,14937,19393536,True,4
aifb,512,1,0.39528634225759673,0.8154938811188811,0.8611111111111112,0.01,14937,19393536,True,5
aifb,512,1,0.4132874962480822,0.6134952004517221,0.8055555555555556,0.01,14937,19393536,True,6
aifb,512,1,0.3458914581876725,0.6806888763410502,0.8611111111111112,0.01,14937,19393536,True,7
aifb,512,1,0.36030890895920015,0.8444746376811595,0.8611111111111112,0.01,14937,19393536,True,8
aifb,512,1,0.29323810595732913,0.8600996376811595,0.8888888888888888,0.01,14937,19393536,True,9
aifb,256,4,0.6637515571025222,0.6840579710144927,0.7777777777777778,0.01,11793,40011264,False,0
aifb,256,4,0.5936635354804863,0.7272727272727273,0.8055555555555556,0.01,11793,40011264,False,1
aifb,256,4,0.6358735231451008,0.8379795396419438,0.8611111111111112,0.01,11793,40011264,False,2
aifb,256,4,0.4570598086430134,0.8379795396419438,0.8611111111111112,0.01,11793,40011264,False,3
aifb,256,4,0.5247112908123397,0.6745454545454546,0.8611111111111112,0.01,11793,40011264,False,4
aifb,256,4,0.47664049303432665,0.8066477272727273,0.8888888888888888,0.01,11793,40011264,False,5
aifb,256,4,0.6774566750339792,0.5810276679841897,0.75,0.01,11793,40011264,False,6
aifb,256,4,0.5115252648705371,0.7779973649538867,0.8611111111111112,0.01,11793,40011264,False,7
aifb,256,4,0.5016805592079931,0.7522727272727272,0.8333333333333334,0.01,11793,40011264,False,8
aifb,256,4,0.3730168971826141,0.7571212121212121,0.8333333333333334,0.01,11793,40011264,False,9
am,768,5,0.4986167116445393,0.8478054229068601,0.8535353535353535,0.01,17818,21690126336,True,0
am,768,5,0.4876336596700659,0.8158853894851643,0.8484848484848485,0.01,17818,21691514368,True,1
am,768,5,0.4761215056942264,0.8120254033270303,0.8535353535353535,0.01,17818,21691514368,True,2
am,768,5,0.4816638478002204,0.8064565369805845,0.8535353535353535,0.01,17818,21691514368,True,3
am,768,5,0.5208736542667677,0.8227480144346173,0.8333333333333334,0.01,17818,21691514368,True,4
am,768,5,0.5339780602472524,0.764838371865917,0.8080808080808081,0.01,17818,21691514368,True,5
am,768,5,0.4996551195867115,0.8482116470417135,0.8636363636363636,0.01,17818,21691514368,True,6
